location_id_str,state_abbr,location_desc,race,Female,Male,male_female_diff,male_female_ratio
04027,AZ,Yuma County,Asian,130.5,197.4,66.9,1.5126436781609196
04027,AZ,Yuma County,Black,306.3,466.9,160.59999999999997,1.5243225595821088
04027,AZ,Yuma County,Hispanic,173.0,299.3,126.30000000000001,1.7300578034682081
04027,AZ,Yuma County,More than one race,196.9,335.7,138.79999999999998,1.7049263585576433
04027,AZ,Yuma County,Native Hawaiian or Other Pacific Islander,,826.9,,
04027,AZ,Yuma County,Overall,213.3,346.7,133.39999999999998,1.6254102203469292
04027,AZ,Yuma County,White,225.2,398.2,173.0,1.7682060390763765
05001,AR,Arkansas County,Black,424.6,594.7,170.10000000000002,1.4006123410268487
05001,AR,Arkansas County,Overall,355.9,550.7,194.80000000000007,1.547344759763979
05001,AR,Arkansas County,White,343.3,567.7,224.40000000000003,1.6536556947276435
05003,AR,Ashley County,Black,551.2,698.6,147.39999999999998,1.2674165457184325
05003,AR,Ashley County,Overall,482.6,610.5,127.89999999999998,1.265022793203481
05003,AR,Ashley County,White,462.0,616.8,154.79999999999995,1.335064935064935
05005,AR,Baxter County,Overall,324.7,516.1,191.40000000000003,1.5894672004927626
05005,AR,Baxter County,White,335.0,529.7,194.70000000000005,1.5811940298507463
05007,AR,Benton County,American Indian or Alaska Native,347.2,320.6,-26.599999999999966,0.9233870967741936
05007,AR,Benton County,Asian,162.8,271.7,108.89999999999998,1.6689189189189186
05007,AR,Benton County,Black,117.2,288.8,171.60000000000002,2.4641638225255975
05007,AR,Benton County,Hispanic,124.5,211.2,86.69999999999999,1.6963855421686747
05007,AR,Benton County,Native Hawaiian or Other Pacific Islander,,675.6,,
05007,AR,Benton County,Overall,247.0,388.2,141.2,1.57165991902834
05007,AR,Benton County,White,257.7,407.8,150.10000000000002,1.5824602250679085
05009,AR,Boone County,Overall,415.7,601.2,185.50000000000006,1.4462352658166948
05009,AR,Boone County,White,428.5,630.1,201.60000000000002,1.4704784130688449
05011,AR,Bradley County,Black,754.7,702.1,-52.60000000000002,0.9303034318272161
05011,AR,Bradley County,Overall,449.9,692.5,242.60000000000002,1.5392309402089355
05011,AR,Bradley County,White,391.6,667.0,275.4,1.7032686414708886
05013,AR,Calhoun County,Black,502.9,741.6,238.70000000000005,1.4746470471266655
05013,AR,Calhoun County,Overall,379.4,628.7,249.30000000000007,1.6570901423299949
05013,AR,Calhoun County,White,355.4,580.1,224.70000000000005,1.632245357343838
05015,AR,Carroll County,Hispanic,134.8,223.4,88.6,1.6572700296735905
05015,AR,Carroll County,Overall,294.1,548.3,254.19999999999993,1.8643318599115943
05015,AR,Carroll County,White,304.2,590.1,285.90000000000003,1.9398422090729786
05017,AR,Chicot County,Black,392.0,744.6,352.6,1.8994897959183674
05017,AR,Chicot County,Overall,375.4,602.2,226.80000000000007,1.6041555673947792
05017,AR,Chicot County,White,392.5,516.5,124.0,1.3159235668789808
05019,AR,Clark County,Black,459.1,683.0,223.89999999999998,1.4876933130037029
05019,AR,Clark County,Overall,367.6,618.4,250.79999999999995,1.6822633297062022
05019,AR,Clark County,White,356.5,612.7,256.20000000000005,1.7186535764375879
05021,AR,Clay County,Overall,338.0,587.0,249.0,1.7366863905325445
05021,AR,Clay County,White,340.0,593.4,253.39999999999998,1.7452941176470587
05023,AR,Cleburne County,Overall,278.5,407.3,128.8,1.4624775583482945
05023,AR,Cleburne County,White,283.8,419.8,136.0,1.4792107117688513
05025,AR,Cleveland County,Black,525.8,661.6,135.80000000000007,1.2582731076454927
05025,AR,Cleveland County,Overall,397.2,587.9,190.7,1.4801107754279959
05025,AR,Cleveland County,White,369.8,582.3,212.49999999999994,1.5746349378042184
05027,AR,Columbia County,Black,420.6,671.6,251.0,1.5967665240133142
05027,AR,Columbia County,Overall,348.3,563.9,215.59999999999997,1.6190066035027275
05027,AR,Columbia County,White,319.1,539.8,220.69999999999993,1.691632717016609
05029,AR,Conway County,Black,390.8,420.7,29.899999999999977,1.0765097236438075
05029,AR,Conway County,Overall,300.8,395.0,94.19999999999999,1.3131648936170213
05029,AR,Conway County,White,305.7,436.1,130.40000000000003,1.426561988877985
05031,AR,Craighead County,Black,457.1,929.6,472.5,2.0336906584992342
05031,AR,Craighead County,Overall,377.8,602.3,224.49999999999994,1.5942297511911063
